               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034554,            0.018229,                   0,              0.5811,             0.93687,             0.72531,             0.52367,            0.015715,           0.0037393,                   0,            0.070098,           0.0033224,           0.0033224
                   1,            0.021691,           0.0089377,                   0,             0.99406,             0.99399,             0.99205,             0.61912,            0.010908,           0.0027202,                   0,            0.040076,           0.0066338,           0.0066338
                   2,              0.0189,           0.0070028,                   0,             0.99599,             0.99552,             0.99386,             0.89909,           0.0098508,           0.0026607,                   0,            0.010032,           0.0099232,           0.0099232
                   3,            0.015649,           0.0061409,                   0,             0.99979,               0.998,               0.995,             0.88593,           0.0073382,           0.0032648,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.012936,           0.0055083,                   0,             0.99775,             0.99599,               0.995,             0.93019,           0.0053892,           0.0029122,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.010783,           0.0048582,                   0,             0.99901,               0.998,               0.995,             0.94957,           0.0047948,           0.0025492,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.01022,           0.0046785,                   0,             0.99669,             0.99599,             0.99412,             0.97628,           0.0029238,            0.002434,                   0,            0.009835,            0.009835,            0.009835
                   7,           0.0092435,           0.0043357,                   0,             0.99799,             0.99588,             0.99484,             0.99011,           0.0030168,           0.0025378,                   0,            0.009802,            0.009802,            0.009802
                   8,           0.0090259,           0.0041225,                   0,             0.99781,             0.99599,             0.99452,             0.93491,           0.0032847,           0.0025053,                   0,            0.009769,            0.009769,            0.009769
                   9,           0.0081316,           0.0037852,                   0,             0.99799,             0.99596,             0.99335,             0.98717,            0.002426,           0.0023942,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.007549,           0.0037142,                   0,             0.99784,             0.99599,             0.99492,             0.98218,           0.0028477,           0.0021183,                   0,            0.009703,            0.009703,            0.009703
                  11,           0.0072803,           0.0036126,                   0,             0.99763,             0.99599,             0.99347,             0.98524,           0.0021962,           0.0023714,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.007164,             0.00344,                   0,             0.99781,             0.99599,              0.9949,             0.99319,            0.001948,           0.0025984,                   0,            0.009637,            0.009637,            0.009637
                  13,           0.0077203,           0.0034168,                   0,             0.99799,             0.99536,             0.99478,             0.93458,           0.0033892,           0.0028104,                   0,            0.009604,            0.009604,            0.009604
                  14,           0.0071973,           0.0034439,                   0,             0.99779,             0.99599,             0.99464,             0.99063,           0.0020283,           0.0026477,                   0,            0.009571,            0.009571,            0.009571
                  15,           0.0066252,           0.0032861,                   0,             0.99782,             0.99599,             0.99341,             0.99238,           0.0020745,           0.0023943,                   0,            0.009538,            0.009538,            0.009538
                  16,           0.0064451,           0.0031763,                   0,             0.99786,             0.99599,             0.99335,             0.99124,            0.002335,           0.0023251,                   0,            0.009505,            0.009505,            0.009505
                  17,           0.0060958,           0.0030844,                   0,             0.99723,             0.99198,             0.99454,             0.95236,           0.0027746,           0.0025066,                   0,            0.009472,            0.009472,            0.009472
                  18,           0.0063981,           0.0031619,                   0,             0.99799,             0.99595,             0.99494,               0.994,           0.0015727,           0.0027782,                   0,            0.009439,            0.009439,            0.009439
                  19,           0.0056106,           0.0030266,                   0,             0.99787,             0.99599,             0.99494,             0.99351,           0.0018593,           0.0026815,                   0,            0.009406,            0.009406,            0.009406
