               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09899,             0.02839,            0.032933,           0.0073068,              0.7274,            0.072835,            0.017866,            0.078839,               0.023,            0.027593,            0.070517,           0.0032759,           0.0032759
                   1,            0.080986,            0.022857,            0.024928,             0.51014,             0.31616,             0.37579,             0.10829,            0.061751,            0.019474,            0.022798,            0.040495,           0.0065874,           0.0065874
                   2,            0.071437,            0.018557,            0.019569,             0.27538,             0.46741,             0.29823,             0.10473,            0.064347,            0.014931,            0.017681,            0.010452,           0.0098769,           0.0098769
                   3,            0.064626,             0.01468,            0.014518,              0.5943,             0.80971,             0.67826,             0.29941,            0.053433,            0.011743,            0.012744,            0.009901,            0.009901,            0.009901
                   4,            0.056125,            0.012287,            0.010472,             0.76631,             0.87484,             0.85274,             0.32252,             0.04946,           0.0099312,            0.011216,            0.009901,            0.009901,            0.009901
                   5,            0.050402,            0.010334,           0.0087886,             0.61428,             0.92845,             0.77245,             0.35077,            0.046801,           0.0094226,             0.01045,            0.009868,            0.009868,            0.009868
                   6,            0.046465,            0.010053,           0.0076667,             0.81782,             0.94361,             0.88061,             0.43694,            0.042982,           0.0091565,           0.0094742,            0.009835,            0.009835,            0.009835
                   7,             0.04269,           0.0094539,           0.0069227,             0.89739,              0.9432,             0.92647,             0.39847,            0.043776,           0.0084988,           0.0092919,            0.009802,            0.009802,            0.009802
                   8,            0.040911,           0.0089986,           0.0060156,             0.91162,             0.95293,             0.94651,             0.48734,            0.037413,           0.0082162,           0.0090229,            0.009769,            0.009769,            0.009769
                   9,            0.037173,           0.0086897,           0.0060228,             0.78862,             0.95622,             0.84202,             0.47861,            0.036038,           0.0080496,           0.0094851,            0.009736,            0.009736,            0.009736
                  10,            0.037573,           0.0079963,           0.0053485,             0.92646,              0.9566,             0.94327,             0.57356,            0.031933,            0.007466,           0.0091883,            0.009703,            0.009703,            0.009703
                  11,            0.036858,           0.0077441,           0.0051026,             0.94935,              0.9509,              0.9452,             0.64541,             0.02983,           0.0074345,           0.0093996,             0.00967,             0.00967,             0.00967
                  12,            0.034825,           0.0077817,           0.0051791,             0.94651,              0.9566,             0.94715,             0.62195,             0.03008,           0.0071974,           0.0090534,            0.009637,            0.009637,            0.009637
                  13,            0.034069,           0.0077067,           0.0047042,             0.95431,             0.95335,              0.9553,             0.62632,            0.033164,           0.0070368,           0.0091043,            0.009604,            0.009604,            0.009604
                  14,            0.033558,           0.0077527,            0.005003,             0.96281,              0.9603,             0.95323,             0.70263,            0.025152,            0.007185,           0.0095973,            0.009571,            0.009571,            0.009571
                  15,            0.033828,            0.007474,           0.0050109,               0.965,              0.9603,             0.94722,              0.6695,            0.026484,           0.0069818,           0.0092245,            0.009538,            0.009538,            0.009538
                  16,            0.031748,           0.0069197,           0.0044471,             0.96233,             0.96013,             0.94607,             0.69704,            0.028272,           0.0065358,           0.0092118,            0.009505,            0.009505,            0.009505
                  17,            0.030688,           0.0069753,           0.0044092,             0.95957,             0.95746,             0.94901,             0.66411,            0.028084,           0.0066328,           0.0094235,            0.009472,            0.009472,            0.009472
                  18,            0.031275,           0.0067304,           0.0045192,             0.94232,             0.96015,             0.94116,             0.70645,            0.025444,           0.0062335,           0.0091569,            0.009439,            0.009439,            0.009439
                  19,             0.03086,           0.0064735,           0.0041443,             0.94465,             0.95568,             0.95491,             0.77737,            0.024542,           0.0064456,           0.0090887,            0.009406,            0.009406,            0.009406
                  20,            0.030315,           0.0066308,           0.0039033,               0.962,             0.95705,             0.95399,             0.77668,            0.023179,           0.0060488,           0.0091989,            0.009373,            0.009373,            0.009373
                  21,            0.030353,            0.006354,           0.0037794,             0.96467,             0.96019,             0.95325,             0.67911,            0.025706,           0.0062866,           0.0090273,             0.00934,             0.00934,             0.00934
                  22,            0.029791,            0.006508,           0.0040981,             0.96419,             0.95954,             0.94862,             0.71342,            0.025454,           0.0061576,           0.0091705,            0.009307,            0.009307,            0.009307
                  23,            0.029304,           0.0064037,           0.0039961,             0.96474,              0.9603,             0.94538,             0.73898,            0.023654,           0.0060031,           0.0093239,            0.009274,            0.009274,            0.009274
                  24,              0.0285,           0.0062757,           0.0038126,             0.96401,              0.9603,             0.95051,             0.69317,             0.02344,           0.0063992,           0.0090313,            0.009241,            0.009241,            0.009241
                  25,             0.02805,           0.0060589,            0.004074,             0.96536,              0.9603,             0.95631,             0.78102,            0.021021,           0.0058765,           0.0090382,            0.009208,            0.009208,            0.009208
                  26,            0.027827,           0.0062663,           0.0041602,             0.96462,              0.9603,              0.9555,             0.83292,             0.02059,           0.0054884,           0.0092999,            0.009175,            0.009175,            0.009175
                  27,            0.027099,           0.0058815,           0.0044298,             0.95985,             0.95664,             0.94981,             0.70036,            0.023273,           0.0057443,           0.0093657,            0.009142,            0.009142,            0.009142
                  28,            0.028171,           0.0058553,           0.0038868,             0.96128,             0.95791,             0.95415,             0.74991,            0.022002,           0.0059706,           0.0092113,            0.009109,            0.009109,            0.009109
                  29,            0.026827,           0.0058686,           0.0038992,             0.96456,              0.9603,             0.95117,             0.75885,            0.020848,           0.0058527,           0.0094955,            0.009076,            0.009076,            0.009076
                  30,            0.026212,           0.0058148,           0.0037951,             0.96501,             0.96007,             0.95172,             0.75318,             0.02229,           0.0054642,            0.009162,            0.009043,            0.009043,            0.009043
                  31,            0.026321,           0.0058472,           0.0038096,             0.96407,              0.9575,             0.94887,             0.79335,            0.020703,           0.0052832,           0.0090036,             0.00901,             0.00901,             0.00901
                  32,            0.026524,           0.0058785,           0.0034501,             0.96136,             0.95901,             0.95239,              0.7492,            0.022145,           0.0054711,           0.0090931,            0.008977,            0.008977,            0.008977
                  33,            0.025661,           0.0056675,            0.003455,             0.96459,             0.95718,             0.95264,             0.78491,            0.022217,           0.0052293,           0.0095234,            0.008944,            0.008944,            0.008944
                  34,            0.025612,           0.0054923,            0.003851,             0.96571,              0.9603,             0.95475,             0.81549,            0.021215,           0.0052449,           0.0089206,            0.008911,            0.008911,            0.008911
                  35,            0.025568,           0.0054109,            0.003862,              0.9646,              0.9603,             0.95334,             0.80596,            0.020067,           0.0054836,           0.0088027,            0.008878,            0.008878,            0.008878
                  36,            0.026089,           0.0056869,           0.0037569,             0.96516,              0.9603,             0.95106,             0.81746,            0.019716,           0.0051756,           0.0092371,            0.008845,            0.008845,            0.008845
                  37,            0.025359,           0.0056926,            0.003398,             0.96433,             0.95868,             0.95439,              0.8103,            0.019488,           0.0051734,           0.0092854,            0.008812,            0.008812,            0.008812
                  38,            0.025546,           0.0054222,           0.0037873,             0.96304,              0.9528,             0.95218,             0.74341,            0.020915,           0.0054029,           0.0095888,            0.008779,            0.008779,            0.008779
                  39,            0.025283,            0.005815,           0.0036193,             0.96533,              0.9579,             0.94801,             0.80756,             0.01929,           0.0050522,           0.0092797,            0.008746,            0.008746,            0.008746
                  40,            0.024455,           0.0054558,           0.0037572,             0.96492,             0.95955,             0.94632,             0.80828,            0.018052,           0.0054448,           0.0091771,            0.008713,            0.008713,            0.008713
                  41,            0.023892,             0.00538,           0.0034301,             0.96486,              0.9603,             0.95236,             0.83244,            0.017648,           0.0050926,           0.0092984,             0.00868,             0.00868,             0.00868
                  42,             0.02439,           0.0054611,           0.0035317,             0.96133,             0.95917,              0.9507,             0.81788,            0.019145,           0.0052195,           0.0097125,            0.008647,            0.008647,            0.008647
                  43,            0.024364,           0.0056939,           0.0033683,             0.94986,              0.9503,             0.94578,             0.82438,            0.018561,           0.0052757,            0.010188,            0.008614,            0.008614,            0.008614
                  44,            0.024614,           0.0053974,           0.0032102,             0.96339,              0.9603,             0.95221,             0.81872,            0.018031,           0.0049888,           0.0093987,            0.008581,            0.008581,            0.008581
                  45,            0.023241,           0.0053199,           0.0029707,             0.96332,             0.95943,               0.951,             0.81546,            0.018728,           0.0046802,            0.009471,            0.008548,            0.008548,            0.008548
                  46,            0.023914,           0.0051985,           0.0033324,             0.94597,             0.94877,              0.9435,             0.80946,            0.017402,           0.0049842,            0.010114,            0.008515,            0.008515,            0.008515
                  47,            0.023014,           0.0052643,           0.0034193,             0.96502,             0.94945,             0.94776,             0.82065,            0.017208,           0.0045966,             0.00951,            0.008482,            0.008482,            0.008482
                  48,            0.022581,           0.0051133,           0.0030976,             0.96269,              0.9603,             0.94785,             0.77344,            0.017022,           0.0047633,           0.0092608,            0.008449,            0.008449,            0.008449
                  49,            0.023375,           0.0052732,           0.0031672,             0.96494,             0.95971,             0.95368,             0.79979,            0.018249,             0.00469,           0.0091431,            0.008416,            0.008416,            0.008416
                  50,            0.022972,           0.0051916,           0.0035294,             0.96461,             0.94073,             0.94749,             0.80423,            0.016833,            0.004741,           0.0099508,            0.008383,            0.008383,            0.008383
                  51,            0.022135,            0.004958,            0.003322,             0.95988,             0.93129,             0.94246,             0.81583,            0.018015,           0.0047183,            0.010269,             0.00835,             0.00835,             0.00835
                  52,             0.02258,            0.005309,           0.0030932,             0.95481,             0.94424,             0.94763,             0.81879,            0.017015,           0.0048602,           0.0098224,            0.008317,            0.008317,            0.008317
                  53,            0.022189,            0.005055,           0.0033201,             0.95607,             0.94955,              0.9459,             0.83889,            0.016166,           0.0049669,           0.0094906,            0.008284,            0.008284,            0.008284
                  54,            0.022646,           0.0052168,           0.0029214,              0.9601,             0.95582,             0.95166,             0.83156,            0.017576,           0.0048315,           0.0091721,            0.008251,            0.008251,            0.008251
                  55,            0.022271,           0.0050227,            0.003063,             0.96434,              0.9601,             0.95291,             0.83316,            0.020423,           0.0047456,           0.0091127,            0.008218,            0.008218,            0.008218
                  56,            0.022348,           0.0049348,           0.0032261,             0.96397,             0.95448,              0.9488,             0.76673,             0.02074,           0.0050389,           0.0093466,            0.008185,            0.008185,            0.008185
                  57,            0.022049,           0.0050593,           0.0031899,              0.9653,             0.95895,             0.95267,             0.83631,            0.015507,           0.0045872,           0.0094487,            0.008152,            0.008152,            0.008152
                  58,            0.021641,           0.0050017,           0.0029351,             0.96481,             0.95649,             0.95246,             0.84901,            0.017725,           0.0048415,           0.0094992,            0.008119,            0.008119,            0.008119
                  59,            0.022583,           0.0048745,           0.0030609,             0.96522,             0.95933,             0.95439,             0.84314,            0.016194,           0.0047067,           0.0094007,            0.008086,            0.008086,            0.008086
                  60,            0.021243,            0.004792,           0.0032628,             0.96474,             0.96001,             0.95234,             0.82258,             0.01791,           0.0046617,           0.0092639,            0.008053,            0.008053,            0.008053
                  61,            0.021245,           0.0047848,           0.0033201,             0.96561,             0.95973,             0.94934,             0.84085,            0.015496,           0.0044052,           0.0095265,             0.00802,             0.00802,             0.00802
                  62,            0.021056,           0.0048914,           0.0031961,             0.96446,             0.95982,             0.95035,             0.82086,             0.01551,            0.004382,           0.0090681,            0.007987,            0.007987,            0.007987
